geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
HES3	26.5503989010989	34.6512263736264	26.2411308691309	41.3874038961039	24.6259753246753	43.1971302697303	39.6012562437562	55.8939505494506	36.5185590534466
SLC2A5	73.6513245057268	76.67371534512	72.7021210394257	81.1718775248007	81.9490161048254	68.4401425040076	74.4057310666078	67.6925674581232	74.5858119435796
MAD2L2	64.9202495650548	74.5689793554399	69.9428528617581	76.194178827313	68.0733213383108	74.6153483569063	72.357981351105	69.1722766885161	71.2306485430505
CROCC	66.8155456106024	64.550272221861	71.3480823395539	74.2921988863208	70.821134051156	66.4776550242657	75.9426457548369	68.8025361401912	69.8812587535985
UBR4	61.8414955794206	60.8933693806194	56.9706063186813	69.6864157842158	63.5471962537463	58.7081766233766	67.301130994006	66.2907754995005	63.1548958041958
CAPZB	60.174532446784	59.6032789483593	56.1358113889956	67.5817460535618	61.4479868908015	56.9722565104127	66.32443573465	66.0970117920541	61.7921324707024
SH2D5	67.781297867249	66.4849461491997	65.6401236414748	71.8401531584694	71.0903952628766	63.7879271240387	69.5027327347072	66.7066951769161	67.8542838893665
ALPL	68.0261642500356	71.5886477070548	66.6321741425241	74.6000762665905	74.9466393225822	72.3813492483707	73.4461936492079	69.5392864682936	71.3950663818325
RHD	70.356614665822	77.3450540069686	66.546831193197	73.2255393642943	76.285757577788	73.6566894020614	70.6288151555761	67.4503936124851	71.9369618722741
PDIK1L	72.8613646130568	77.183386821916	72.9587276403208	77.3326285015955	78.020194459909	77.542674561361	75.6721731113547	68.561207346052	75.0165446319457
UBXN11	73.2684848347529	76.7112056982193	74.4447167070043	77.5230761658959	77.1008895067819	78.7631325062566	76.4327953353862	68.8693913912891	75.3892115181983
FGR	73.9527695403434	77.5687266936552	75.3206717846107	79.6544767122413	79.9975163836164	78.5701797806844	77.942639458797	68.9097296163139	76.4895887462828
FABP3	57.656070849312	64.1820134140053	51.8150029881409	59.4351178434469	59.8776082602881	64.7716584947311	62.6559140778576	65.8411254995005	60.7793139284103
TINAGL1	72.7424918212222	74.6385109612127	70.288889629501	73.77933004995	77.9366877896017	75.259670960344	73.1054406688963	68.1799576110846	73.2413724364766
BAI2	74.3322518610241	77.0125726908945	74.7084415265407	78.6837463838683	81.6929531572069	76.3347341459661	75.1933129621079	68.3932988364576	75.7939139455083
PTP4A2	73.9128541800008	76.3862668591296	73.5425109644593	77.3899027938164	80.7020055015606	76.0511196408112	74.6425073209277	68.3370168738042	75.1205230168137
LCK	74.8123975063516	77.6698815548649	75.9236097015639	80.1100263105722	82.8098064870315	76.4937121283038	75.7909035859203	68.4422950386033	76.5065790391515
TIE1	70.2894518481518	69.7219662337662	69.8860651348651	76.1528924075924	71.5174506493506	68.5042441558442	71.9928638361638	65.6933941058941	70.4697910464535
HYI	70.3464726748072	69.9361067234923	70.2324748517669	76.2650463831133	71.723339942791	68.6158687327062	71.9224643421327	65.6571299326573	70.5873629479333
RPS8	71.2486694971695	75.1021385281385	75.7032936396937	78.4670845487845	75.3447662337662	72.8671410922411	72.5912401598401	65.6212072927073	73.3681926240426
TAL1	29.9413931248527	34.7396674011382	57.3610047828576	59.2746053564413	28.5829451256609	46.4674001504114	39.3285704643671	60.7866913468554	44.560284719073
IFI44L	44.0443795084915	37.0495784755245	51.6389577112887	20.028480461039	39.2318142797203	17.9630144551448	29.5264793406594	34.3145851868132	34.2246611773352
MCOLN2	57.2349651835969	47.6247757705709	43.8079043444361	34.4903233352014	58.8038313499509	43.4584339018705	48.9980426061743	54.1847997652754	48.5753845321346
TGFBR3	57.6475861744316	59.6970666363939	60.146114667151	58.7378764689855	62.3196091847546	60.2037076317622	47.0012545212363	39.762382741501	55.689449753277
F3	71.0415131551376	44.9185866474988	66.37245736215	76.9389089057284	77.5665585926269	56.8674100070661	61.1817252795985	64.8563016252041	64.9679326968763
