entry	alignmentStart	alignmentEnd	envelopeStart	envelopeEnd	hmmAacc	hmmName	type	hmmStart	hmmEend	hmmLength	bitScore	eValue	clan	entryName	geneSymbol	length
Q9H6Y5	128	206	125	206	PF00595	PDZ	Domain	4	82	82	52	2.9e-10	CL0466	MAGIX_HUMAN	MAGIX	334
A0A024QZ33	5	123	4	123	PF09745	DUF2040	Coiled-coil	2	121	121	124.9	7.5e-33	No_clan	A0A024QZ33_HUMAN	CCDC55	504
O75340	40	90	39	90	PF13833	EF-hand_8	Domain	2	53	55	21.2	0.91	CL0220	PDCD6_HUMAN	PDCD6	191
O75340	97	154	93	155	PF13499	EF-hand_7	Domain	3	65	66	45.7	2.7e-08	CL0220	PDCD6_HUMAN	PDCD6	191
A0A024QZX5	11	380	10	380	PF00079	Serpin	Domain	2	370	370	435.9	6.6e-127	No_clan	A0A024QZX5_HUMAN	SERPINB6	380
A0A024R0K5	40	140	38	141	PF07686	V-set	Domain	3	108	109	45.5	3.1e-08	CL0011	A0A024R0K5_HUMAN	CEACAM5	702
P06731	40	140	38	141	PF07686	V-set	Domain	3	108	109	45.5	3.1e-08	CL0011	CEAM5_HUMAN	CEACAM5	702
A0A024R0K5	157	224	151	229	PF00047	ig	Domain	8	81	87	28	0.0084	CL0011	A0A024R0K5_HUMAN	CEACAM5	702
P06731	157	224	151	229	PF00047	ig	Domain	8	81	87	28	0.0084	CL0011	CEAM5_HUMAN	CEACAM5	702
A0A024R0K5	240	318	239	318	PF13895	Ig_2	Domain	2	80	80	67.5	3.6e-15	CL0011	A0A024R0K5_HUMAN	CEACAM5	702
P06731	240	318	239	318	PF13895	Ig_2	Domain	2	80	80	67.5	3.6e-15	CL0011	CEAM5_HUMAN	CEACAM5	702
A0A024R0K5	331	401	324	411	PF07679	I-set	Domain	8	81	90	25	0.067	CL0011	A0A024R0K5_HUMAN	CEACAM5	702
P06731	331	401	324	411	PF07679	I-set	Domain	8	81	90	24.6	0.085	CL0011	CEAM5_HUMAN	CEACAM5	702
A0A024R0K5	418	495	417	496	PF13895	Ig_2	Domain	2	79	80	58.9	1.8e-12	CL0011	A0A024R0K5_HUMAN	CEACAM5	702
P06731	418	495	417	496	PF13895	Ig_2	Domain	2	79	80	58.9	1.8e-12	CL0011	CEAM5_HUMAN	CEACAM5	702
A0A024R0K5	513	579	507	583	PF00047	ig	Domain	8	80	87	24.1	0.14	CL0011	A0A024R0K5_HUMAN	CEACAM5	702
P06731	513	579	507	583	PF00047	ig	Domain	8	80	87	24.1	0.14	CL0011	CEAM5_HUMAN	CEACAM5	702
A0A024R0K5	596	669	595	674	PF13895	Ig_2	Domain	2	76	80	43.9	8.7e-08	CL0011	A0A024R0K5_HUMAN	CEACAM5	702
P06731	596	669	595	674	PF13895	Ig_2	Domain	2	76	80	43.9	8.7e-08	CL0011	CEAM5_HUMAN	CEACAM5	702
A0A024R0Y4	74	117	72	118	PF00249	Myb_DNA-binding	Domain	3	46	47	42.9	1.8e-07	CL0123	A0A024R0Y4_HUMAN	TADA2L	443
A0A024R0Y4	373	440	364	441	PF04433	SWIRM	Domain	10	81	83	34.5	8.4e-05	No_clan	A0A024R0Y4_HUMAN	TADA2L	443
A0A024R214	61	367	61	367	PF16368	CEBP1_N	Family	1	307	307	522.9	1.4e-153	No_clan	A0A024R214_HUMAN	CPEB1	626
A0A024R214	370	470	370	470	PF16367	RRM_7	Domain	1	94	94	117.8	7.7e-31	CL0221	A0A024R214_HUMAN	CPEB1	626
A0A024R214	562	619	562	619	PF16366	CEBP_ZZ	Domain	1	61	61	83.8	3.2e-20	No_clan	A0A024R214_HUMAN	CPEB1	626
A0A024R341	2	87	1	87	PF05615	THOC7	Family	42	128	128	91.8	1.8e-22	No_clan	A0A024R341_HUMAN	NIF3L1BP1	152
P02511	1	56	1	56	PF00525	Crystallin	Family	1	56	56	102.6	4.2e-26	No_clan	CRYAB_HUMAN	CRYAB	175
P02511	68	161	67	162	PF00011	HSP20	Family	2	100	101	87.6	2.3e-21	CL0190	CRYAB_HUMAN	CRYAB	175
A0A024R4K9	14	189	13	192	PF07851	TMPIT	Family	2	177	324	233.9	1.2e-65	No_clan	A0A024R4K9_HUMAN	TMPIT	322
A0A024R571	38	70	38	70	PF16880	EHD_N	Family	1	33	33	60.7	3.8e-13	No_clan	A0A024R571_HUMAN	EHD1	548
